gradient_wrt_Variable_5:0/add_2_grad/index,index,506715,

gradient_wrt_Variable_2:0/add_4_grad/index,index,489393,

gradient_wrt_Variable_2:0/relu__grad/sum,sum,458525,

gradient_wrt_Variable:0/add_grad/add/reduce_sum_x,sum,448897,

gradient_wrt_Variable_3:0/relu__1_grad/zeros,zeros,446152,

gradient_wrt_Variable_9:0/add_4_grad/index,index,434661,

gradient_wrt_Variable:0/add_2_grad/index,index,431104,

gradient_wrt_Variable:0/relu__1_grad/zeros,zeros,426796,

Placeholder_2,placeholder,424151,

gradient_wrt_Variable_10:0/add_4_grad/index_1,index,418701,

gradient_wrt_Variable:0/conv2d_grad/index_1,index,378315,

gradient_wrt_Variable_4:0/add_4_grad/index,index,378186,

gradient_wrt_Variable_3:0/relu__2_grad/index,index,370360,

Adam/assign_1,assign,368878,

Variable_9:0/Adam,variable_v2,366764,

gradient_wrt_Variable:0/relu__grad/reshape,reshape,363408,

gradient_wrt_Variable_4:0/add_1_grad/add/reduce_sum_y,sum,362747,

gradient_wrt_Variable_2:0/relu__grad/reshape,reshape,361193,

gradient_wrt_Variable_2:0/conv2d_1_grad/conv2d_backprop_input,conv2d_backprop_input,349622,

gradient_wrt_Variable_4:0/relu__3_grad/index,index,348400,

gradient_wrt_Variable:0/add_grad/reshape,reshape,345986,

gradient_wrt_Variable:0/conv2d_grad/conv2d_backprop_filter,conv2d_backprop_filter,332661,

Variable_5:0,variable_v2,331068,

gradient_wrt_Variable:0/conv2d_1_grad/conv2d_backprop_input,conv2d_backprop_input,329414,

gradient_wrt_Variable_6:0/relu__2_grad/index,index,329154,

gradient_wrt_Variable_2:0/conv2d_2_grad/conv2d_backprop_input,conv2d_backprop_input,320557,

gradient_wrt_Variable_4:0/relu__1_grad/index,index,318874,

gradient_wrt_Variable_8:0/relu__3_grad/index,index,318353,

gradient_wrt_Variable_4:0/relu__2_grad/sum,sum,317773,

gradient_wrt_Variable_6:0/relu__3_grad/index,index,317763,

gradient_wrt_Variable_5:0/relu__2_grad/index,index,311911,

gradient_wrt_Variable_3:0/relu__1_grad/sum,sum,308025,

gradient_wrt_Variable:0/relu__grad/index,index,307975,

gradient_wrt_Variable:0/relu__1_grad/sum,sum,307814,

gradient_wrt_Variable_2:0/relu__1_grad/index,index,306511,

Variable_5:0/Adam,variable_v2,304507,

gradient_wrt_Variable:0/relu__3_grad/index,index,302674,

gradient_wrt_Variable_7:0/relu__3_grad/index,index,300130,

Variable_10:0,variable_v2,299910,

gradient_wrt_Variable_5:0/relu__3_grad/index,index,297114,

gradient_wrt_Variable_3:0/relu__3_grad/index,index,296813,

gradient_wrt_Variable:0/relu__1_grad/index,index,294238,

gradient_wrt_Variable_2:0/relu__3_grad/index,index,292525,

gradient_wrt_Variable:0/relu__2_grad/index,index,292305,

gradient_wrt_Variable_2:0/relu__1_grad/sum,sum,289911,

gradient_wrt_Variable:0/add_1_grad/add/reduce_sum_x,sum,289581,

softmax_cross_entropy_with_logits/softmax_cross_entropy_with_logits_v2,softmax_cross_entropy_with_logits_v2,285913,

gradient_wrt_Variable_2:0/add_1_grad/add/reduce_sum_x,sum,283889,

gradient_wrt_Variable_4:0/relu__1_grad/sum,sum,282887,

gradient_wrt_Variable_3:0/add_1_grad/add/reduce_sum_x,sum,282397,

gradient_wrt_Variable_5:0/conv2d_2_grad/conv2d_backprop_filter,conv2d_backprop_filter,281385,

gradient_wrt_Variable_4:0/relu__2_grad/index,index,275965,

gradient_wrt_Variable_2:0/relu__grad/index,index,273510,

gradient_wrt_Variable:0/add_1_grad/reshape,reshape,271316,

gradient_wrt_Variable:0/relu__1_grad/reshape,reshape,269412,

gradient_wrt_Variable_3:0/conv2d_1_grad/conv2d_backprop_filter,conv2d_backprop_filter,269312,

Variable_3:0/Adam,variable_v2,267018,

gradient_wrt_Variable_4:0/conv2d_2_grad/conv2d_backprop_input,conv2d_backprop_input,266467,

gradient_wrt_Variable_3:0/conv2d_2_grad/conv2d_backprop_input,conv2d_backprop_input,265685,

gradient_wrt_Variable_2:0/relu__2_grad/index,index,262830,

gradient_wrt_Variable_4:0/mat_mul_grad/mat_mul,mat_mul,261347,

gradient_wrt_Variable:0/conv2d_2_grad/conv2d_backprop_input,conv2d_backprop_input,250007,

gradient_wrt_Variable:0/mat_mul_grad/mat_mul,mat_mul,247561,

gradient_wrt_Variable_2:0/add_2_grad/add/reduce_sum_x,sum,242963,

mat_mul,mat_mul,240549,

gradient_wrt_Variable_3:0/relu__1_grad/index,index,240038,

gradient_wrt_Variable_3:0/relu__1_grad/reshape,reshape,238925,

gradient_wrt_Variable_6:0/add_2_grad/add/reduce_sum_y,sum,237954,

conv2d,conv2d,236942,

gradient_wrt_Variable_5:0/add_2_grad/add/reduce_sum_x,sum,236160,

Variable_9:0/Adam_1,variable_v2,236131,

gradient_wrt_Variable:0/add_2_grad/add/reduce_sum_x,sum,232995,

gradient_wrt_Variable_7:0/relu__3_grad/zeros,zeros,232994,

gradient_wrt_Variable_2:0/relu__1_grad/reshape,reshape,226633,

gradient_wrt_Variable_4:0/relu__1_grad/reshape,reshape,216333,

gradient_wrt_Variable_7:0/relu__3_grad/sum,sum,215442,

Variable_3:0/Adam_1,variable_v2,214160,

gradient_wrt_Variable_2:0/add_1_grad/reshape,reshape,214079,

gradient_wrt_Variable_3:0/add_2_grad/add/reduce_sum_x,sum,213648,

gradient_wrt_Variable_3:0/add_1_grad/reshape,reshape,212496,

gradient_wrt_Variable:0/relu__2_grad/reshape,reshape,207176,

gradient_wrt_Variable_5:0/relu__3_grad/sum,sum,202618,

reshape,reshape,202348,

gradient_wrt_Variable_2:0/relu__2_grad/sum,sum,200564,

gradient_wrt_Variable_8:0/relu__3_grad/greater_equal,greater_equal,199873,

gradient_wrt_Variable_7:0/mul_grad/mul,mul,199753,

